node_from,node_to,P_MW,Q_MVAR,S_MVA,Fmax_violation?
1,2,0.004845,-0.0147925,0.0155657342021,No
1,5,0.159646953105,-0.659034914318,0.678095987251,No
2,3,0.5756275,-2.4251325,2.49251171739,No
2,4,0.123581174765,-0.374975610645,0.394815166039,No
2,5,0.0846183110811,-0.25835701371,0.271861371113,No
3,4,2.79330257154,-0.712936186854,2.88284881024,No
4,5,0.000764893371215,-0.00241270860389,0.00253105208887,No
4,7,0.0,-8.22276738015,8.22276738015,No
5,6,0.0,-0.241384732201,0.241384732201,No
6,9,0.432974208278,-0.9067021481,1.00477631859,No
6,10,0.894435550876,-1.86156991514,2.06529840546,No
6,11,0.000994885410951,-0.00195923994686,0.00219736618484,No
7,8,0.00257132185279,-0.00683045257971,0.00729840931398,No
7,12,4.28093157987,-9.10611502294,10.0621919085,No
8,9,0.129223596097,-0.302498185283,0.328943596818,No
10,11,1.46481932407,-1.32531272178,1.97538590221,No
11,12,1.13335853279,-2.30756120388,2.5708637213,No
